message_id,user_attributes,message_status,message_delivery_failure_reason
6193716,"{""whatsapp_display_name"": ""Pierce Hawthorne""}, {""whatsapp_phone_number"": ""254722001015""}, {""user_id"": ""DM-015""}, {""organization"": ""Greendale Community College""}",read,
6193694,"{""whatsapp_display_name"": ""Troy Barnes""}, {""whatsapp_phone_number"": ""254722001016""}, {""user_id"": ""DM-016""}, {""organization"": ""Greendale Community College""}",invalid_user,Receiver is incapable of receiving this message
6193659,"{""whatsapp_display_name"": ""Liz Lemon""}, {""whatsapp_phone_number"": ""254722001017""}, {""user_id"": ""DM-017""}, {""organization"": ""TGS with Tracy Jordan""}",read,
6193649,"{""whatsapp_display_name"": ""Jack Donaghy""}, {""whatsapp_phone_number"": ""254722001018""}, {""user_id"": ""DM-018""}, {""organization"": ""GE""}",responded,
6193641,"{""whatsapp_display_name"": ""Kenneth Parcell""}, {""whatsapp_phone_number"": ""254722001019""}, {""user_id"": ""DM-019""}, {""organization"": ""NBC""}",invalid_user,Receiver is incapable of receiving this message
6193595,"{""whatsapp_display_name"": ""Tracy Jordan""}, {""whatsapp_phone_number"": ""254722001020""}, {""user_id"": ""DM-020""}, {""organization"": ""TGS with Tracy Jordan""}",responded,
6193274,"{""whatsapp_display_name"": ""Jenna Maroney""}, {""whatsapp_phone_number"": ""254722001021""}, {""user_id"": ""DM-021""}, {""organization"": ""TGS with Tracy Jordan""}",read,
6193266,"{""whatsapp_display_name"": ""Pete Hornberger""}, {""whatsapp_phone_number"": ""254722001022""}, {""user_id"": ""DM-022""}, {""organization"": ""TGS with Tracy Jordan""}",responded,
6193216,"{""whatsapp_display_name"": ""Frank Rossitano""}, {""whatsapp_phone_number"": ""254722001023""}, {""user_id"": ""DM-023""}, {""organization"": ""TGS with Tracy Jordan""}",responded,
6193212,"{""whatsapp_display_name"": ""Leslie Knope""}, {""whatsapp_phone_number"": ""254722001024""}, {""user_id"": ""DM-024""}, {""organization"": ""Pawnee Parks Department""}",read,
6193074,"{""whatsapp_display_name"": ""Ron Swanson""}, {""whatsapp_phone_number"": ""254722001025""}, {""user_id"": ""DM-025""}, {""organization"": ""Pawnee Parks Department""}",delivered,
6193061,"{""whatsapp_display_name"": ""Ann Perkins""}, {""whatsapp_phone_number"": ""254722001026""}, {""user_id"": ""DM-026""}, {""organization"": ""Pawnee St. Joseph Hospital""}",responded,
6193062,"{""whatsapp_display_name"": ""Tom Haverford""}, {""whatsapp_phone_number"": ""254722001027""}, {""user_id"": ""DM-027""}, {""organization"": ""Pawnee Parks Department""}",read,
6193020,"{""whatsapp_display_name"": ""April Ludgate""}, {""whatsapp_phone_number"": ""254722001028""}, {""user_id"": ""DM-028""}, {""organization"": ""Pawnee Parks Department""}",delivered,
6193013,"{""whatsapp_display_name"": ""Andy Dwyer""}, {""whatsapp_phone_number"": ""254722001029""}, {""user_id"": ""DM-029""}, {""organization"": ""Pawnee Shoe Shiner""}",responded,
6192938,"{""whatsapp_display_name"": ""Ben Wyatt""}, {""whatsapp_phone_number"": ""254722001030""}, {""user_id"": ""DM-030""}, {""organization"": ""Pawnee City Manager""}",read,
6192868,"{""whatsapp_display_name"": ""Paul Atreides""}, {""whatsapp_phone_number"": ""254722001031""}, {""user_id"": ""DM-031""}, {""organization"": ""House Atreides""}",read,
6192763,"{""whatsapp_display_name"": ""Lady Jessica""}, {""whatsapp_phone_number"": ""254722001032""}, {""user_id"": ""DM-032""}, {""organization"": ""Bene Gesserit""}",responded,
6192748,"{""whatsapp_display_name"": ""Duke Leto Atreides""}, {""whatsapp_phone_number"": ""254722001033""}, {""user_id"": ""DM-033""}, {""organization"": ""House Atreides""}",read,
6192674,"{""whatsapp_display_name"": ""Chani""}, {""whatsapp_phone_number"": ""254722001034""}, {""user_id"": ""DM-034""}, {""organization"": ""Fremen""}",delivered,
6192446,"{""whatsapp_display_name"": ""Duncan Idaho""}, {""whatsapp_phone_number"": ""254722001035""}, {""user_id"": ""DM-035""}, {""organization"": ""House Atreides""}",read,
6192435,"{""whatsapp_display_name"": ""Thufir Hawat""}, {""whatsapp_phone_number"": ""254722001036""}, {""user_id"": ""DM-036""}, {""organization"": ""House Atreides""}",responded,
6192430,"{""whatsapp_display_name"": ""Gurney Halleck""}, {""whatsapp_phone_number"": ""254722001037""}, {""user_id"": ""DM-037""}, {""organization"": ""House Atreides""}",responded,
6192377,"{""whatsapp_display_name"": ""Baron Vladimir Harkonnen""}, {""whatsapp_phone_number"": ""254722001038""}, {""user_id"": ""DM-038""}, {""organization"": ""House Harkonnen""}",responded,
6192362,"{""whatsapp_display_name"": ""Piter De Vries""}, {""whatsapp_phone_number"": ""254722001039""}, {""user_id"": ""DM-039""}, {""organization"": ""House Harkonnen""}",delivered,
6192360,"{""whatsapp_display_name"": ""Feyd-Rautha""}, {""whatsapp_phone_number"": ""254722001040""}, {""user_id"": ""DM-040""}, {""organization"": ""House Harkonnen""}",delivered,
